player_id,player_name,birth_date,position,club,base_rating
P-52008,not applicable Emerson,1976-04-04,Midfielder,,81.9
P-42223,Wahbi Khazri,1991-02-08,Forward,,78.4
P-20762,Yahya Golmohammadi,1971-03-19,Defender,,73.8
P-55391,Hamdi Marzouki,1977-01-23,Defender,,75.9
P-83849,Trent Sainsbury,1992-01-05,Defender,,75.6
P-52217,David de Gea,1990-11-07,Midfielder,,85.9
P-15887,Oscar Hiljemark,1992-06-28,Midfielder,,83.9
P-92064,Tony Sanneh,1971-06-01,Defender,,78.6
P-35460,Sylvain N'Diaye,1976-06-25,Midfielder,,81.3
P-25937,Kieran Trippier,1990-09-19,Defender,,79.8
P-14060,not applicable Bremer,1997-03-18,Defender,,85.3
P-74340,not applicable Cris,1977-06-03,Defender,,85.1
P-93236,Juliano Belletti,1976-06-20,Defender,,88.0
P-04420,Daniel Opare,1990-10-18,Defender,,79.8
P-40621,Idrissa Gueye,1989-09-26,Midfielder,,80.9
P-81477,Jan Koller,1973-03-30,Forward,,83.7
P-80088,Jesús Gallardo,1994-08-15,Midfielder,,84.0
P-62543,Ángelo Preciado,1998-02-18,Defender,,75.9
P-91308,Pape Thiaw,1981-02-05,Forward,,79.0
P-96510,Gerardo Arteaga,1998-09-07,Defender,,74.3
P-05368,Harrison Afful,1986-06-24,Defender,,76.8
P-80262,Timmy Simons,1976-12-11,Midfielder,,80.5
P-46039,Fayçal Fajr,1988-08-01,Midfielder,,76.3
P-05559,Takumi Minamino,1995-01-16,Midfielder,,77.0
P-69235,Gareth Barry,1981-02-23,Midfielder,,81.8
P-16785,Mario Balotelli,1990-08-12,Forward,,82.4
P-64443,Joe Hart,1987-04-19,Midfielder,,84.1
P-10167,Daniel Arzani,1999-01-04,Forward,,81.0
P-14267,Cristian Zaccardo,1981-12-21,Defender,,86.8
P-63068,Adel Chedli,1976-09-16,Midfielder,,77.4
P-41422,not applicable Jefferson,1983-01-02,Midfielder,,82.1
P-25398,Kolo Touré,1981-03-19,Defender,,81.0
