team_id,as_of_date,elo,fifa_rank,attack_strength,defense_strength,avg_goals_scored,avg_goals_conceded,form_index,wc_attack_strength,wc_defense_strength,squad_size,clean_sheet_rate,win_rate
USA,2026-06-10,1561.8443701616325,11,1.171904697898286,1.2073043520392865,1.4856279259134273,1.5305041985778038,0.5496949238287667,1.0579079071332906,0.7418379798039926,26,0.2117193146120079,0.4249908009219666
KSA,2026-06-10,1373.8687955329099,55,0.4593853721598298,0.9076193361690486,0.5823645377143205,1.1505923940146,0.22701878547961332,0.48456604688074595,0.7374174323733319,23,0.355319808674042,0.20294208515812506
SEN,2026-06-10,1552.6901676343757,18,0.7719887193960716,1.101671670778712,0.9786529587958793,1.3965932573116207,0.37934348476070867,0.9532495799574286,1.0732133966876198,26,0.33471808679375076,0.3002987040532249
ALG,2026-06-10,1629.819503920601,35,1.1955484262945162,0.639270310246415,1.5156011679706927,0.8104053399671961,0.6172230395339969,0.9751077070368598,1.2537099090473907,23,0.6549220374420924,0.5506343475195346
PAR,2026-06-10,1599.9992874938323,40,0.7477675114316193,1.0156303159874658,0.9479476437511655,1.2875183131710732,0.4856452826169541,0.6698843993510325,0.611906928893894,23,0.2865366033031279,0.247772311594915
CIV,2026-06-10,1552.1758085409353,62,1.138478370273475,0.7391093918599745,1.443253246582241,0.9369717135030818,0.43664153942529926,1.0447582575394927,1.0969961704164672,23,0.36834738697409586,0.4694373937613
CPV,2026-06-10,1413.1895576051527,50,0.48937346020504063,0.9881112885496615,0.6203805479962271,1.252632340165845,0.28842133454235896,0.48755385351843,1.6019626615605553,23,0.3006443723269358,0.06877284022454346
BRA,2026-06-10,1720.2851019127345,4,1.619594639076873,0.8975585946380826,2.0531661224564153,1.1378383547137887,0.6350985323121487,0.877476046866779,0.8268681007556041,26,0.3065383973650603,0.5466449163845483
CAN,2026-06-10,1521.162599610514,50,0.6608563408338174,0.7203390522504703,0.8377700308911075,0.9131764844603371,0.4961054199283426,1.0412658032443944,1.0358882262931681,26,0.4727413080824077,0.2929924866231532
AUS,2026-06-10,1525.8618701737062,50,1.0699878725487495,0.8537709300035571,1.3564275889480963,1.0823285700800649,0.7669561291353326,0.9155408304883799,0.6668656337235487,26,0.26961262296265204,0.4427594112810716
